,course,ccm_web_site,social_media,community_event,family_member_or_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in-app_advertisement,employer,billboard,television,radio,other,program,interest,gender,race,age
220,CMP 239,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Information Technology,,Man,Hispanic,25-34
221,CMP 128,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Business Administration,3.0,Woman,White,19-20
222,CMP 128,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,CIS Game Development Option,,Man,White,25-34
223,CMP 128,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Mechanical Engineering,4.0,Man,Multi-Racial,21-24
224,CMP 131,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Non Degree seeking,5.0,Woman,Hispanic,35-64
225,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Mechanical Engineering Technology,3.0,Man,White,25-34
226,CMP 239,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,White,19-20
227,CMP 130,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Information Technology,,Man,White,18 and younger
228,CMP 130,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,White,18 and younger
229,CMP 130,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Information Technology,,Man,Asian,21-24
230,CMP 130,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Undecided,4.0,Man,White,19-20
231,CMP 130,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,Asian,19-20
232,CMP 130,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Don't recall,Information Technology,,Man,White,18 and younger
233,CMP 131,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,White,21-24
234,CMP 130,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Information Technology,,Man,African American,35-64
235,CMP 130,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Computer Science,,Woman,Hispanic,25-34
236,CMP 130,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Information Technology,,Man,White,35-64
237,CMP 131,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Information Technology,,Man,White,35-64
238,CMP 120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Information Technology,,Man,Asian,19-20
239,CMP 130,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Challenger Program,,Man,Multi-Racial,18 and younger
240,CMP 130,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Information Technology,,Man,Multi-Racial,18 and younger
241,CMP 130,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Information Technology,,Woman,White,19-20
242,CMP 130,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,,Woman,White,35-64
243,CMP 130,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Computer Science,,Man,Choose not to reply,19-20
244,CMP 128,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Business Administration,1.0,Woman,White,19-20
245,CMP 130,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,African American,25-34
246,CMP 120,Yes,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,No,No,No,No,No,Don't recall,Computer Science,,Prefer not to say,Choose not to reply,18 and younger
247,CMP 131,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Information Technology,,Man,White,25-34
248,CMP 128,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,19-20
249,CMP 128,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Information Technology,,Man,White,25-34
250,CMP 128,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Engineering Science: Biomedical Equipment Option,5.0,Woman,White,21-24
251,CMP 128,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Mechanical Engineering,5.0,Man,Multi-Racial,21-24
252,CMP 128,Don't recall,Yes,Don't recall,Yes,Yes,Don't recall,Yes,Yes,No,No,No,No,No,No,Information Security Certificate of Achievement,,Man,White,19-20
253,CMP 128,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Computer Science,,Woman,Hispanic,25-34
254,CMP 130,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Information Technology,,Woman,Asian,18 and younger
255,CMP 130,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Information Technology,,Man,White,25-34
256,CMP 128,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Nursing,1.0,Woman,Multi-Racial,18 and younger
257,CMP 130,No,No,No,Yes,Yes,No,Don't recall,No,No,No,No,No,No,No,Information Technology,,Man,Hispanic,21-24
258,CMP 130,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Information Security Certificate of Achievement,,Man,Hispanic,21-24
259,CMP 131,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Information Technology,,Woman,African American,19-20
260,CMP 120,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Information Technology,,Man,Hispanic,19-20
261,CMP 128,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,CIS Game Development Option,,Woman,White,18 and younger
262,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,CIS Game Development Option,,Man,White,18 and younger
263,CMP 130,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,,Man,Choose not to reply,25-34
264,CMP 120,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Information Security Certificate of Achievement,,Man,African American,25-34
265,CMP 130,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,35-64
266,CMP 131,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,25-34
267,CMP 128,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,ShareTime CSIP Program,,Man,Hispanic,18 and younger
268,CMP 130,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Don't recall,Information Technology,,Man,Asian,18 and younger
269,CMP 120,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Information Technology,,Man,Hispanic,19-20
270,CMP 128,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Computer Science,,Man,White,19-20
271,CMP 128,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
272,CMP 128,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
273,CMP 120,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Computer Science,,Prefer not to say,White,21-24
